;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/info/desc/upgrade_fracking_substance_upkeep;Warning: Building upgrades require pipe connection to a fracking substance. If you need to plan new pipe connection then build over existing building instead of upgrading;;;;;;;;;
gui/menu/info/desc/upgrade_generic_plasma_upkeep;Warning: Building upgrades require pipe connection to any type of plasma. If you need to plan new pipe connection then build over existing building instead of upgrading;;;;;;;;;
gui/menu/info/desc/upgrade_high_energy_plasma_upkeep;Warning: Building upgrades require pipe connection to a high energy plasma. If you need to plan new pipe connection then build over existing building instead of upgrading;;;;;;;;;
gui/menu/info/desc/upgrade_new_piping_req;Warning: Buildings upgrades require pipe connection to a liquid or gas. If you need to plan new pipe connection then build over existing building instead of upgrading;;;;;;;;;
gui/menu/info/desc/upgrade_new_upkeep_req;Warning: These buildings upgrades have additional resource requirements;;;;;;;;;
gui/menu/info/desc/upgrade_nitric_acid_upkeep;Warning: Building upgrades require pipe connection to nitric acid. If you need to plan new pipe connection then build over existing building instead of upgrading;;;;;;;;;
gui/menu/info/desc/upgrade_reagent_upkeep;Warning: Building upgrades require pipe connection to reagent.;;;;;;;;;
gui/menu/info/desc/upgrade_simple_reagent_upkeep;Warning: Building upgrades require pipe connection to a simple reagent. If you need to plan new pipe connection then build over existing building instead of upgrading;;;;;;;;;
gui/menu/info/desc/upgrade_water_upkeep;Warning: Building upgrades require pipe connection to water. If you need to plan new pipe connection then build over existing building instead of upgrading;;;;;;;;;
gui/menu/info/desc/warning_rounding;Warning: Tech Tree shows rounded stats. Actual stats are only visible from build menu (sorry, vanilla issue, can’t fix);;;;;;;;;
gui/menu/info/name/building_limit_increase_outpost;Limit increase: Outposts;;;;;;;;;
gui/menu/info/name/upgrade_buff_generic_req;Buff Requirement;;;;;;;;;
gui/menu/info/name/upgrade_buff_geoscanner_req;Geoscanner Requirement;;;;;;;;;
gui/menu/info/name/upgrade_buff_mag_stabilizer_req;Magnetic Stabilizer Requirement;;;;;;;;;
gui/menu/info/name/upgrade_buff_ore_mill_req;Ore Mill Requirement;;;;;;;;;
gui/menu/info/name/upgrade_coolant_upkeep_advanced;Advanced Coolant Requirement;;;;;;;;;
gui/menu/info/name/upgrade_coolant_upkeep_normal;Coolant Upkeep;;;;;;;;;
gui/menu/info/name/upgrade_coolant_upkeep_simple;Simple Coolant Upkeep;;;;;;;;;
gui/menu/info/name/upgrade_deuterium_upkeep;Deuterium Upkeep;;;;;;;;;
gui/menu/info/name/upgrade_drilling_fluid_upkeep;Drilling Fluid Upkeep;;;;;;;;;
gui/menu/info/name/upgrade_fracking_substance_upkeep;Fracking Substance Upkeep;;;;;;;;;
gui/menu/info/name/upgrade_generic_plasma_upkeep;Generic Plasma Upkeep;;;;;;;;;
gui/menu/info/name/upgrade_high_energy_plasma_upkeep;High Energy Plasma Upkeep;;;;;;;;;
gui/menu/info/name/upgrade_new_piping_req;New Piped Upkeep Requirement;;;;;;;;;
gui/menu/info/name/upgrade_new_upkeep_req;New Upkeep;;;;;;;;;
gui/menu/info/name/upgrade_nitric_acid_upkeep;Nitric Acid Upkeep;;;;;;;;;
gui/menu/info/name/upgrade_reagent_upkeep;Reagent Upkeep;;;;;;;;;
gui/menu/info/name/upgrade_simple_reagent_upkeep;Simple Reagent Upkeep;;;;;;;;;
gui/menu/info/name/upgrade_water_upkeep;Water Upkeep;;;;;;;;;
gui/menu/info/name/warning_rounding;Stats Rounding!;;;;;;;;;
gui/menu/inventory/stat_name/ammo_homing;Projectile homing;;;;Zielsuchfunktion für Projektile;;;弹药制导;;
gui/menu/inventory/stat_name/ammo_stun_length;Stun Duration;;;;Betäubungsdauer;;;眩晕持续时间;;
gui/menu/inventory/stat_name/damage_over_time_length;Damage duration;;;;Schadensdauer;;;持续伤害时间;;
gui/menu/inventory/upgrade/stat_name/ammo_homing;Projectile homing;;;;Projektil-Zielsuche;;;弹药制导;;
gui/menu/inventory/upgrade/stat_name/resistance_acid_rain;Resist - Acid Rain;;;;Resistenz – saurer Regen;;;抗性 - 酸雨;;
gui/menu/inventory/upgrade/stat_name/resistance_heat;Resist - Heat;;;;Resistenz – Hitze;;;抗性 - 高温;;
gui/menu/inventory/upgrade/stat_name/resistance_solar_burn;Resist - Radiation;;;;Resistenz – Strahlung;;;抗性 - 辐射;;
gui/menu/inventory/upgrade/stat_name/resistance_sunburn;Resist - Solar Flare;;;;Resistenz – Sonneneruption;;;抗性 - 太阳耀斑;;
gui/menu/planetary_scanner/base_info_buildings_ammo;Ammunition buildings:;;;;Munitionsgebäude:;;;弹药建筑：;;
gui/menu/planetary_scanner/base_info_buildings_liquids;Liquids and gas buildings:;;;;Flüssigkeits- und Gasgebäude:;;;液体和气体建筑：;;
gui/menu/research/description/ai_hub;AI Hubs enable maintain and control of defenses and advanced production facilities;;;;KI-Hubs ermöglichen die Wartung und Steuerung von Verteidigungsanlagen und fortschrittlichen Produktionsanlagen;;;AI中心能够维护和控制防御设施及高级生产设施;;
gui/menu/research/description/ai_hub_lvl2;Improved computation capacity by cooling;;;;Verbesserte Rechenkapazität durch Kühlung;;;通过冷却提高计算能力;;
gui/menu/research/description/ai_hub_lvl3;Improved computation capacity by advanced cooling;;;;Verbesserte Rechenkapazität durch fortschrittliche Kühlung;;;通过高级冷却提高计算能力;;
gui/menu/research/description/alloys_palladium;Metallurgy technology for production of palladium alloys;;;;Metallurgietechnologie zur Herstellung von Palladiumlegierungen;;;生产钯合金的冶金技术;;
gui/menu/research/description/alloys_titanium;Metallurgy technology for production of titanium alloys;;;;Metallurgietechnologie zur Herstellung von Titanlegierungen;;;生产钛合金的冶金技术;;
gui/menu/research/description/alloys_uranium;Metallurgy technology for production of depleted uranium alloys;;;;Metallurgietechnologie zur Herstellung von abgereicherten Uranlegierungen;;;生产贫铀合金的冶金技术;;
gui/menu/research/description/ammo_energy_cell_lvl2;Production of high capacity energy cells build from locally available resources;;;;Herstellung von Hochleistungs-Energiezellen aus lokal verfügbaren Ressourcen;;;利用当地可用资源生产高容量能量电池;;
gui/menu/research/description/ammo_energy_cell_lvl2b;Adaptation of high capacity energy cells production to optimize yield;;;;Anpassung der Produktion von Hochleistungs-Energiezellen zur Ertragsoptimierung;;;调整高容量能量电池生产以优化产量;;
gui/menu/research/description/ammo_energy_cell_lvl3;Production of high-tech overcharged energy cell for top end energy weapons;;;;Herstellung von hochtechnologischen überladenen Energiezellen für Hochleistungs-Energiewaffen;;;为顶级能量武器生产高科技过载能量电池;;
gui/menu/research/description/ammo_energy_cell_lvl4;Adaptation of high-tech overcharged energy cell production to optimize yield;;;;Anpassung der Produktion von hochtechnologischen überladenen Energiezellen zur Ertragsoptimierung;;;调整高科技过载能量电池生产以优化产量;;
gui/menu/research/description/ammo_energy_cell_lvl5;Adaptation of high-tech overcharged energy cell production to optimize yield;;;;Anpassung der Produktion von hochtechnologischen überladenen Energiezellen zur Ertragsoptimierung;;;调整高科技过载能量电池生产以优化产量;;
gui/menu/research/description/ammo_explosive_liquid_lvl2;Improves production lines for standard explosives and liquid ammunition;;;;Verbessert Produktionslinien für Standard-Sprengstoffe und flüssige Munition;;;改进标准炸药和液体弹药的生产线;;
gui/menu/research/description/ammo_explosive_lvl2;Production of high explosive warheads from locally available resources for weapons like grenade and missile launchers;;;;Herstellung von hochexplosiven Sprengköpfen aus lokal verfügbaren Ressourcen für Waffen wie Granat- und Raketenwerfer;;;利用当地可用资源为榴弹发射器和导弹发射器等武器生产高爆弹头;;
gui/menu/research/description/ammo_explosive_lvl2b;Adaptation of high explosive warheads production to optimize yield;;;;Anpassung der Produktion von hochexplosiven Sprengköpfen zur Ertragsoptimierung;;;调整高爆弹头生产以优化产量;;
gui/menu/research/description/ammo_explosive_lvl3;Production of high-tech explosives warheads for top end weapons like grenade and missile launchers;;;;Herstellung von Hightech-Sprengköpfen für Hochleistungswaffen wie Granat- und Raketenwerfer;;;为顶级武器如榴弹发射器和导弹发射器生产高科技爆炸弹头;;
gui/menu/research/description/ammo_explosive_lvl4;Adaptation of high-tech explosives warhead production to optimize yield;;;;Anpassung der Produktion von Hightech-Sprengköpfen zur Ertragsoptimierung;;;调整高科技爆炸弹头生产以优化产量;;
gui/menu/research/description/ammo_explosive_lvl5;Adaptation of high-tech explosives warhead production to optimize yield;;;;Anpassung der Produktion von Hightech-Sprengköpfen zur Ertragsoptimierung;;;调整高科技爆炸弹头生产以优化产量;;
gui/menu/research/description/ammo_high_caliber_lvl2;Production of advanced high caliber rounds assembled from locally available resources for weapons like cannons;;;;Herstellung fortschrittlicher großkalibriger Geschosse aus lokal verfügbaren Ressourcen für Waffen wie Kanonen;;;利用当地可用资源为加农炮等武器生产高级大口径炮弹;;
gui/menu/research/description/ammo_high_caliber_lvl2b;Adaptation of advanced high caliber rounds production to optimize yield;;;;Anpassung der Produktion fortschrittlicher großkalibriger Geschosse zur Ertragsoptimierung;;;调整高级大口径炮弹生产以优化产量;;
gui/menu/research/description/ammo_high_caliber_lvl3;Production of high-tech high caliber rounds for top end weapons like cannons;;;;Herstellung von High-Tech-Großkalibergeschossen für Spitzenwaffen wie Kanonen;;;为顶级武器如加农炮生产高科技大口径炮弹;;
gui/menu/research/description/ammo_high_caliber_lvl4;Adaptation of high-tech high caliber round production to optimize yield;;;;Anpassung der Produktion von High-Tech-Großkalibergeschossen zur Ertragsoptimierung;;;调整高科技大口径炮弹生产以优化产量;;
gui/menu/research/description/ammo_high_caliber_lvl5;Adaptation of high-tech high caliber round production to optimize yield;;;;Anpassung der Produktion von High-Tech-Großkalibergeschossen zur Ertragsoptimierung;;;调整高科技大口径炮弹生产以优化产量;;
gui/menu/research/description/ammo_liquid_lvl2;Production of highly reactive liquid munitions from locally available resources for weapons like flame throwers;;;;Herstellung hochreaktiver Flüssigmunition aus lokal verfügbaren Ressourcen für Waffen wie Flammenwerfer;;;利用当地可用资源为火焰喷射器等武器生产高反应性液体弹药;;
gui/menu/research/description/ammo_liquid_lvl2b;Adaptation of high capacity energy cells production to optimize yield;;;;Anpassung der Produktion von Hochleistungs-Energiezellen zur Ertragsoptimierung;;;调整高容量能量电池生产以优化产量;;
gui/menu/research/description/ammo_liquid_lvl3;Production of high-tech liquid ammunition for top end liquid based weapons like flame throwers;;;;Herstellung von Hightech-Flüssigmunition für Spitzenwaffen auf Flüssigbasis wie Flammenwerfer;;;为顶级液体武器如火焰喷射器生产高科技液体弹药;;
gui/menu/research/description/ammo_liquid_lvl4;Adaptation of high-tech liquid ammunition production to optimize yield;;;;Anpassung der Produktion von Hightech-Flüssigmunition zur Ertragsoptimierung;;;调整高科技液体弹药生产以优化产量;;
gui/menu/research/description/ammo_liquid_lvl5;Adaptation of high-tech liquid ammunition production to optimize yield;;;;Anpassung der Produktion von Hightech-Flüssigmunition zur Ertragsoptimierung;;;调整高科技液体弹药生产以优化产量;;
gui/menu/research/description/ammo_low_caliber_lvl2;Production of advanced low caliber rounds assembled from locally available resources for weapons like machine guns;;;;Herstellung fortschrittlicher Kleinkalibermunition aus lokal verfügbaren Ressourcen für Waffen wie Maschinengewehre;;;利用当地可用资源为机枪等武器生产高级小口径子弹;;
gui/menu/research/description/ammo_low_caliber_lvl2b;Adaptation of advanced low caliber round production to optimize yield;;;;Anpassung der Produktion fortschrittlicher Kleinkalibermunition zur Ertragsoptimierung;;;调整高级小口径子弹生产以优化产量;;
gui/menu/research/description/ammo_low_caliber_lvl3;Production of high-tech low caliber rounds for top end weapons like machine guns;;;;Herstellung von Hightech-Kleinmunition für Spitzenwaffen wie Maschinengewehre;;;为顶级武器如机枪生产高科技小口径子弹;;
gui/menu/research/description/ammo_low_caliber_lvl4;Adaptation of high-tech low caliber round production to optimize yield;;;;Anpassung der Produktion von Hightech-Kleinmunition zur Ertragsoptimierung;;;调整高科技小口径子弹生产以优化产量;;
gui/menu/research/description/ammo_low_caliber_lvl5;Adaptation of high-tech low caliber round production to optimize yield;;;;Anpassung der Produktion von Hightech-Kleinmunition zur Ertragsoptimierung;;;调整高科技小口径子弹生产以优化产量;;
gui/menu/research/description/ammo_low_high_caliber_lvl2;Improves production lines for standard low and high caliber ammunition;;;;Verbessert die Produktionslinien für Standardmunition mit kleinem und großem Kaliber;;;改进标准小口径和大口径弹药的生产线;;
gui/menu/research/description/ammonium_extraction;Extracts Ammonium from nitrate rich natural sources;;;;Gewinnt Ammonium aus nitratreichen natürlichen Quellen;;;从富含硝酸盐的天然资源中提取铵。;;
gui/menu/research/description/ammonium_extraction_lvl_2;Extracts Ammonium from nitrate rich natural sources. ;;;;Gewinnt Ammonium aus nitratreichen natürlichen Quellen. ;;;从富含硝酸盐的天然资源中提取铵。;;
gui/menu/research/description/ammonium_synthesis;Ammonium synthesis from atmospheric nitrogen via the Haber-process. Flammable gas or petroleum serves serves as hydrogen source.;;;;Ammoniumsynthese aus atmosphärischem Stickstoff mittels des Haber-Verfahrens. Entzündliches Gas oder Erdöl dient als Wasserstoffquelle.;;;通过哈柏法从大气氮中合成铵。可燃气体或石油作为氢源。;;
gui/menu/research/description/ammonium_synthesis_lvl_2;Improves the Haber process by cleaning the gas from sulfur residuals using water;;;;Verbessert das Haber-Verfahren durch Reinigung des Gases von Schwefelrückständen mit Wasser;;;通过使用水清除气体中的硫残留物，改进哈柏法。;;
gui/menu/research/description/bio_cobalt;Allows Riftbreakers to extract the trace cobalt from Galateas plant. The plants can be cultivated for a more permanent resource source.;;;;Ermöglicht es den Riftbreakers, Spuren von Kobalt aus Galateas-Pflanzen zu extrahieren. Die Pflanzen können als dauerhafte Ressourcenquelle angebaut werden.;;;允许裂谷者从伽拉忒亚的植物中提取微量钴。这些植物可以被培育为更永久的资源来源。;;
gui/menu/research/description/bio_cobalt_lvl_2;Improving the method of trace cobalt from Galateas bio-matter.;;;;Verbesserung der Methode zur Gewinnung von Spuren von Kobalt aus Galateas-Biomasse.;;;改进从伽拉忒亚生物质中提取微量钴的方法。;;
gui/menu/research/description/bio_cobalt_lvl_3;Improving the method of trace cobalt from Galateas bio-matter.;;;;Verbesserung der Methode zur Gewinnung von Spurenelementen aus Galateas-Biomasse.;;;改进从伽拉忒亚生物质中提取微量钴的方法。;;
gui/menu/research/description/bio_palladium;Allows Riftbreakers to extract the trace palladium from Galateas plant. The plants can be cultivated for a more permanent resource source.;;;;Ermöglicht es den Riftbreakers, Spurenelementen aus Galateas-Pflanzen zu extrahieren. Die Pflanzen können als dauerhafte Ressourcenquelle angebaut werden.;;;允许裂谷者从伽拉忒亚的植物中提取微量钯。这些植物可以被培育为更永久的资源来源。;;
gui/menu/research/description/bio_palladium_lvl_2;Improving the method of trace palladium from Galateas bio-matter.;;;;Verbesserung der Methode zur Gewinnung von Spurenelementen aus Galateas-Biomasse.;;;改进从伽拉忒亚生物质中提取微量钯的方法。;;
gui/menu/research/description/bio_palladium_lvl_3;Improving the method of trace palladium from Galateas bio-matter.;;;;Verbesserung der Methode zur Gewinnung von Spurenelementen aus Galateas-Biomasse.;;;改进从伽拉忒亚生物质中提取微量钯的方法。;;
gui/menu/research/description/bio_processing;Enhanced processing techniques allow to extract further resources from Galateas biodiversity.;;;;Verbesserte Verarbeitungstechniken ermöglichen es, weitere Ressourcen aus der Artenvielfalt von Galatea zu gewinnen.;;;增强的加工技术允许从伽拉忒亚的生物多样性中提取更多资源。;;
